State,Total,Year
Vermont,161404,1968
Virginia,1361491,1968
Washington,1304281,1968
West Virginia,754206,1968
Wisconsin,1691538,1968
Wyoming,127205,1968
DC,170578,1968
Nationwi,70641539,1964
Alabama,689817,1964
Alaska,67259,1964
Arizona,480770,1964
Arkansas,560426,1964
California,7057586,1964
Colorado,776986,1964
Connecticut,1218578,1964
Delaware,201320,1964
Florida,1854481,1964
Georgia,1139336,1964
Hawaii,207271,1964
Idaho,292477,1964
Illinois,4702841,1964
Indiana,2091606,1964
Iowa,1184539,1964
Kansas,857901,1964
Kentucky,1046105,1964
Louisiana,896293,1964
Maine,381221,1964
Maryland,1116457,1964
Massachusetts,2344798,1964
Michigan,3203102,1964
Minnesota,1554462,1964
Mississippi,409146,1964
Missouri,1817879,1964
Montana,278628,1964
Nebraska,584154,1964
Nevada,135433,1964
New Hampshire,288093,1964
New Jersey,2846770,1964
New Mexico,327615,1964
New York,7166015,1964
North Carolina,1424983,1964
North Dakota,258389,1964
Ohio,3969196,1964
Oklahoma,932499,1964
Oregon,786305,1964
Pennsylvania,4822690,1964
Rhode Island,390091,1964
South Carolina,524756,1964
South Dakota,293118,1964
Tennessee,1143946,1964
Texas,2626811,1964
Utah,400310,1964
Vermont,163089,1964
Virginia,1042267,1964
Washington,1258556,1964
West Virginia,792040,1964
Wisconsin,1691815,1964
Wyoming,142716,1964
DC,198597,1964
Nationwi,68832483,1960
Alabama,564473,1960
Alaska,60762,1960
Arizona,398491,1960
Arkansas,428509,1960
California,6506578,1960
Colorado,736246,1960
Connecticut,1222883,1960
Delaware,196683,1960
Florida,1544176,1960
Georgia,733349,1960
Hawaii,184705,1960
Idaho,300450,1960
Illinois,4757409,1960
Indiana,2135360,1960
Iowa,1273810,1960
Kansas,928825,1960
Kentucky,1124462,1960
Louisiana,807891,1960
Maine,421773,1960
Maryland,1055349,1960
Massachusetts,2469480,1960
Michigan,3318097,1960
Minnesota,1541887,1960
Mississippi,298171,1960
Missouri,1934422,1960
Montana,277579,1960
Nebraska,613095,1960
Nevada,107267,1960
New Hampshire,295761,1960
New Jersey,2773111,1960
New Mexico,311107,1960
New York,7291079,1960
North Carolina,1368556,1960
North Dakota,278431,1960
Ohio,4161859,1960
Oklahoma,903150,1960
Oregon,776421,1960
Pennsylvania,5006541,1960
Rhode Island,405535,1960
South Carolina,386688,1960
South Dakota,306487,1960
Tennessee,1051792,1960
Texas,2311084,1960
