1944,REP,ThomasDewey,22017929,44540,,56287,63551,1512965,268731,390527,56747,143215,59880,,100137,1939314,875891,547267,442096,392448,67750,155434,292949,921350,1084423,527416,11601,761524,93163,329880,24611,109916,961335,70688,2987647,263155,118535,1582293,319424,225365,1835054,123487,4610,135365,200311,191425,97891,71527,145243,361689,322819,674532,51921,
1940,TOT,Total,49912852,294219,,150039,200743,3268791,549004,781502,136374,485492,312551,,235168,4217935,1782747,1215430,860297,970163,372305,320840,660117,2026993,2085929,1251188,175824,1833729,247873,615878,53174,235419,1972552,183258,6313897,822648,280775,3319912,826212,481240,4078714,321148,99832,308427,522823,1124531,247819,143062,346607,793833,868076,1405522,112240,
1940,DEM,FDR,27314449,250726,,95267,158622,1877618,265554,417621,74599,359334,265194,,127842,2149934,874063,578800,364725,557322,319751,156478,384546,1076522,1032991,644196,168267,958476,145698,263677,31945,125292,1016808,103699,3251918,609015,124036,1733139,474313,258415,2171035,182182,95470,131362,351601,909974,154277,64269,235961,462145,495662,704821,59287,
1940,REP,WendellWilkie,22348343,42184,,54030,42121,1351419,279576,361819,61440,126158,46360,,106553,2047240,899466,632370,489169,410384,52446,163951,269534,939700,1039917,596274,7364,871009,99579,352201,21229,110127,945475,79315,3027478,213633,154590,1586773,348872,219555,1889848,138653,4360,177065,169153,212692,93151,78371,109363,322123,372414,679206,52633,
1936,TOT,Total,45654388,275744,,124163,179423,2638882,488684,690723,127603,327432,293178,,199617,3956522,1650897,1142733,865514,926206,329778,304240,624896,1840357,1805098,1129975,162142,1828635,230512,608023,43848,218114,1820437,169136,5596398,839464,273716,3012589,749740,414021,4138426,311178,115437,296452,475538,849736,216677,143689,334590,692338,829945,1258560,103382,
1936,DEM,FDR,27757431,238196,,86722,146765,1766836,295021,382129,69702,249117,255364,,125683,2282999,934974,621756,464520,541944,292894,126333,389612,942716,1016794,698811,157333,1111043,159690,347445,31925,108460,1083850,106037,3293222,616141,163148,1747140,501069,266733,2353987,165238,113791,160137,327083,739952,150246,62124,234980,459579,502582,802984,62624,
1936,REP,AlfLandon,16683574,35358,,33433,32039,836431,181267,278685,57236,78248,36942,,66256,1570393,691570,487977,397727,369702,36791,168823,231435,768613,699733,350461,4467,697891,63598,247731,11923,104642,720322,61727,2180670,223283,72751,1127855,245122,122706,1690200,125031,1646,125977,146520,104661,64555,81023,98336,206892,325358,380828,38739,
1932,TOT,Total,39752454,245354,,118251,220562,2267966,457696,594183,112901,276252,255590,,186625,3407926,1576927,1036687,791978,983063,268804,298444,511054,1580114,1664765,1002843,146034,1609894,216479,570137,41430,205520,1630063,151606,4688614,711501,256290,2609728,704633,368808,2859177,266170,104407,288438,390256,863426,206578,136980,297942,614814,743774,1114808,96962,
1932,DEM,FDR,22821513,207910,,79264,189602,1324157,250877,281632,54319,206307,234118,,109479,1882304,862054,598019,424204,580574,249418,128907,314314,800148,871700,600806,140168,1025406,127286,359082,28756,100680,806630,95089,2534959,497566,178350,1301695,516468,213871,1295948,146604,102347,183515,259473,760348,116750,56266,203979,353260,405124,707410,54370,
1932,REP,HerbertHoover,15761532,34675,,36104,28467,847902,189617,288420,57073,69170,19863,,71417,1432756,677184,414433,349498,394716,18853,166631,184184,736959,739894,363959,5180,564713,78078,201177,12674,103629,775684,54217,1937963,208344,71772,1227319,188165,136019,1453540,115266,1978,99212,126752,97959,84795,78984,89637,208645,330731,347741,39583,
1932,SOC,NormanThomas,884895,2030,,2618,1269,63299,13591,20480,1376,775,461,,526,67258,21388,20467,18276,3853,0,2489,10489,34305,39205,25476,686,16374,7891,9876,0,947,42998,1776,177397,5591,3521,64094,0,15450,91223,3138,82,1551,1796,4450,4087,1533,2382,17080,5133,53379,2829,
